Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true
1167,combinatoric,gpuKNNImputer_MinMaxScaler,0.22628697123610317,0.15081414321698325,0.2905377379025022,0.16578918573630927,0.2929139945871288,-0.446765649269524,[0.52888414 0.52434536 0.54096394 ... 0.65066544 0.65136577 0.65136577],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]"
1202,combinatoric,gpuKNNImputer_MinMaxScaler,0.15237956000974956,0.1601112028943437,0.5127753095219865,1.8586149715957911,0.20635346153983442,0.2936658306423864,[0.7387495  0.72302691 0.72302691 ... 0.72272098 0.7282925  0.7282925 ],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]"
1218,combinatoric,gpuKNNImputer_MinMaxScaler,0.14761878936513262,0.16375673126832416,0.8774393042836512,2.5210623393798763,0.2179182115679022,0.3611535116874699,[0.66676184 0.64960167 0.64960167 ... 0.79093525 0.7825932  0.78545246],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]"
1219,combinatoric,gpuKNNImputer_MinMaxScaler,0.12422077532784669,0.15680404236513837,87871973630166.81,85.8650755101881,0.19069148413143558,0.4321643521236339,[0.51935863 0.51935863 0.51935863 ... 0.62905096 0.63422644 0.63422644],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]"
1234,combinatoric,gpuKNNImputer_MinMaxScaler,0.24110269135861656,0.18228498215514516,84987692699701.34,108.526030830743,0.3469277929808412,-0.5006686807616205,[0.68049557 0.66463611 0.68830324 ... 0.47680489 0.4640707  0.4640707 ],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]"
1273,combinatoric,gpuKNNImputer_MinMaxScaler,0.14860081993932003,0.10214739236135939,0.21770835493049898,0.27591440617160345,0.21198234462010518,0.15626880552777378,[0.6527415  0.64230196 0.64230196 ... 0.62762435 0.62466451 0.62592817],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]"
1298,combinatoric,gpuKNNImputer_MinMaxScaler,0.13824812512446374,0.12433452531167098,0.34082178976353245,0.34974074334596117,0.1905492923892017,0.31176034886098425,[0.57080426 0.5625391  0.5625391  ... 0.47484206 0.47712728 0.47712728],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]"
1339,combinatoric,gpuKNNImputer_MinMaxScaler,0.21677838785956186,0.26514582175543866,0.9068340873380353,2.020099376931889,0.28643522779780145,-0.04580283939992125,[0.89812821 0.89300322 0.89300322 ... 0.61403392 0.61349678 0.61349678],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]"
11285,combinatoric,gpuKNNImputer_MinMaxScaler,0.11187727293640488,0.09900216815047086,0.147218958106129,0.3193765210686946,0.14041566169236602,0.6051043519206766,[0.69854708 0.68920039 0.68920039 ... 0.78102936 0.79203476 0.79203476],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]"
11457,combinatoric,gpuKNNImputer_MinMaxScaler,0.10627990216501691,0.17873241087322805,0.14311959802236685,0.660482368863568,0.14266532834956783,0.5316922021237813,[0.91406233 0.91112768 0.91112768 ... 0.83980582 0.82355808 0.82355808],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]"
12001,combinatoric,gpuKNNImputer_MinMaxScaler,0.1516210000627139,0.09434704859658144,0.23433155143297932,0.769189942469774,0.2142576571513859,-0.10842023962398883,[0.68422714 0.69020554 0.69020554 ... 0.90471481 0.90569639 0.90569639],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]"
12048,combinatoric,gpuKNNImputer_MinMaxScaler,0.11853648074384374,0.14300329089965483,0.3122950453186654,2.32323308068311,0.15453609603710605,0.6042281685103684,[0.77698809 0.7698642  0.7698642  ... 0.74604935 0.74624433 0.74624433],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]"
12701,combinatoric,gpuKNNImputer_MinMaxScaler,0.16149193891021535,0.16367318853034785,0.45480907985607666,0.5994992058421784,0.2266230073810927,0.19328574277025923,[0.51882696 0.51857822 0.51857822 ... 0.88553263 0.89123695 0.89123695],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]"
12832,combinatoric,gpuKNNImputer_MinMaxScaler,0.11701175461225057,0.17834004925568905,0.3122256398458578,1.0657998049710178,0.16853338478214883,0.5004025214081707,[0.81100048 0.80291389 0.80381018 ... 0.87676249 0.8772542  0.8772542 ],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]"
B1,combinatoric,gpuKNNImputer_MinMaxScaler,0.10521214102583841,0.10396385464944634,0.15804831571205874,0.31199483816430024,0.1501152587009186,0.47606734613465607,[0.73612433 0.73517528 0.73517528 ... 0.76499115 0.76160589 0.76160589],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]"
B8,combinatoric,gpuKNNImputer_MinMaxScaler,0.15983346957595024,0.09516860224851854,46569207839237.99,100.67884221002166,0.21395044415454081,0.27542834057434296,[0.63339364 0.63010697 0.63010697 ... 0.64146095 0.65208086 0.65208086],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]"
B18,combinatoric,gpuKNNImputer_MinMaxScaler,0.1480272120558489,0.11662543425107877,0.36447432396808366,0.45552695346628,0.2089737362851615,0.21239831277291987,[0.6406724  0.6344984  0.6344984  ... 0.54202523 0.53698783 0.53698783],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]"
C5,combinatoric,gpuKNNImputer_MinMaxScaler,0.105763821361102,0.12400105831258744,0.22862033314161145,0.4086339185822305,0.14474436600151366,0.5488422379670385,[0.61847915 0.62789109 0.62789109 ... 0.65723726 0.63811706 0.63811706],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]"
E.ce,combinatoric,gpuKNNImputer_MinMaxScaler,0.10220762811609298,0.1622690228415952,0.16723979420670415,0.6405870647525252,0.1392963345690985,0.46490239833851554,[0.91509589 0.85399732 0.85399732 ... 0.39357615 0.39436194 0.39357615],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]"
E.co,combinatoric,gpuKNNImputer_MinMaxScaler,0.17857962087359644,0.27604471922431095,0.5092550385993542,1.513905769711357,0.24209243926407467,0.2807734227405344,[0.94766339 0.94766339 0.94766339 ... 0.35109071 0.35151687 0.34996555],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]"
