,Collection,Ncells,Timepoint,Architecture_LocalDensity_range10_max,Architecture_LocalDensity_range10_mean,Architecture_LocalDensity_range10_mean_biovolume,Architecture_LocalDensity_range10_median,Architecture_LocalDensity_range10_min,Architecture_LocalDensity_range10_p25,Architecture_LocalDensity_range10_p75,Architecture_LocalDensity_range10_std,Architecture_LocalDensity_range10_std_biovolume,Architecture_LocalNumberDensity_range10_max,Architecture_LocalNumberDensity_range10_mean,Architecture_LocalNumberDensity_range10_mean_biovolume,Architecture_LocalNumberDensity_range10_median,Architecture_LocalNumberDensity_range10_min,Architecture_LocalNumberDensity_range10_p25,Architecture_LocalNumberDensity_range10_p75,Architecture_LocalNumberDensity_range10_std,Architecture_LocalNumberDensity_range10_std_biovolume,Architecture_LocalSubstrateArea_max,Architecture_LocalSubstrateArea_mean,Architecture_LocalSubstrateArea_mean_biovolume,Architecture_LocalSubstrateArea_median,Architecture_LocalSubstrateArea_min,Architecture_LocalSubstrateArea_p25,Architecture_LocalSubstrateArea_p75,Architecture_LocalSubstrateArea_std,Architecture_LocalSubstrateArea_std_biovolume,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_MeanThickness,Biofilm_OuterSurface,Biofilm_OuterSurfaceIgnoreSubstratePerSubstrate,Biofilm_OuterSurfaceIgnoreSubstratePerVolume,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_OuterSurface_ignoreSubstrate,Biofilm_Roughness,Biofilm_SubstrateArea,Biofilm_SubstratumCoverage,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume,Surface_LocalRoughness_range10_max,Surface_LocalRoughness_range10_mean,Surface_LocalRoughness_range10_mean_biovolume,Surface_LocalRoughness_range10_median,Surface_LocalRoughness_range10_min,Surface_LocalRoughness_range10_p25,Surface_LocalRoughness_range10_p75,Surface_LocalRoughness_range10_std,Surface_LocalRoughness_range10_std_biovolume,Surface_PerSubstrateArea_max,Surface_PerSubstrateArea_mean,Surface_PerSubstrateArea_mean_biovolume,Surface_PerSubstrateArea_median,Surface_PerSubstrateArea_min,Surface_PerSubstrateArea_p25,Surface_PerSubstrateArea_p75,Surface_PerSubstrateArea_std,Surface_PerSubstrateArea_std_biovolume
1,Lalfilm,35613.0,05-Feb-2021 09:37:24,1,0.55763,0.74557,0.53346,0.01353,0.32544,0.79391,0.2715,0.2216,0.081122,0.021789,0.020737,0.02028,0,0.01521,0.025351,0.0088514,0.0087556,100,4.5128,8.2104,0,0,0,0,19.1392,26.0808,0.33653,0.30423,0.90401,43024.3966,0.4275,74.8908,222.5359,41.711,435658.6528,18.8826,0.5128,20.7886,0.56456,395715.6079,0.2743,20956.6613,0.61308,771683.1673,36.8228,246.1641,296,77.773,84.6016,80,0,27,117,54.9751,58.5157,1,0.4761,0.75503,0.424,0.001,0.115,0.856,0.36474,0.26904,59480,22518.9031,17522.8676,19940,1,9824.5,33330.25,15270.5037,12831.5956,126.0398,9.3098,14.5142,5.0177,1.8002,2.9621,10.5189,11.2333,13.9919,47.0863,21.6686,35.2877,18.3637,0.047086,4.9441,39.5525,17.1789,12.8994,0.2592,0.091436,0.08342,0.092776,0,0.071756,0.11476,0.03743,0.043892,87.1818,12.2016,11.593,11.1322,0.12397,8.3967,14.1901,7.3573,5.2051
1,Lalfilm,49257.0,05-Feb-2021 09:37:24,1,0.55406,0.74089,0.53153,0.015649,0.33221,0.78135,0.26888,0.21938,0.065911,0.021522,0.020687,0.02028,0,0.01521,0.025351,0.0087304,0.0087908,100,2.4958,4.275,0,0,0,0,13.9189,18.8447,0.50052,0.52181,1.0425,41901.224,0.28269,118.0415,235.8365,70.517,617232.8482,35.9687,0.54282,38.5041,0.58108,576589.3181,0.27615,16030.315,0.46896,1062211.6007,66.2627,226.2173,307,79.6952,86.4454,81,0,27,121,57.23,60.756,1,0.47029,0.74848,0.422,0.001,0.111,0.836,0.36219,0.26846,91915,35364.3557,32339.2195,32508,1,14675.75,53352.5,23649.4648,21552.0169,119.5256,6.3659,9.5935,3.5911,1.3891,2.1335,7.4469,7.5708,9.482,47.0863,21.5647,35.0431,18.6933,0.047086,4.8499,38.6578,17.0489,12.8088,0.28097,0.093358,0.085551,0.094709,0,0.07316,0.1179,0.038845,0.045679,110.5455,17.3372,16.949,16.3306,0.099174,12.1157,20.5455,9.1146,6.9882
1,Lalfilm,39137.0,05-Feb-2021 09:37:24,1,0.54874,0.74272,0.52235,0.0086978,0.31927,0.78159,0.27213,0.2232,0.081122,0.021773,0.020745,0.02028,0,0.01521,0.025351,0.0088906,0.0089205,100,3.8124,7.1106,0,0,0,0,17.6445,24.4477,0.35427,0.33422,0.94343,43812.7427,0.33158,81.2717,229.4087,49.8687,473492.679,22.2939,0.51983,24.337,0.56747,433742.75,0.26945,19455.6774,0.56917,834387.1315,42.8866,243.1648,280,76.9482,83.7807,79,0,25,117,55.5937,59.3218,1,0.4634,0.74977,0.403,0.001,0.105,0.839,0.36381,0.27056,64895,25925.8553,21646.2171,23876,1,11475.75,38278.25,16999.0816,15243.933,102.5443,7.5093,11.9184,3.8601,1.5122,2.3562,8.253,9.4418,11.9611,47.0863,21.3196,35.1438,17.9399,0.047086,4.5203,38.9874,17.1678,12.8843,0.27859,0.09032,0.081762,0.092293,0,0.071478,0.1138,0.037439,0.044642,80.1364,12.9561,12.804,12.1322,0.024793,9.2231,15.5785,6.4896,5.3115
1,Lalfilm,52459.0,05-Feb-2021 09:37:24,1,0.52714,0.68791,0.49287,0.017396,0.33253,0.70983,0.24238,0.21979,0.070981,0.021109,0.020988,0.02028,0,0.01521,0.025351,0.0078058,0.0077142,100,3.238,6.3333,0,0,0,0,16.341,23.1282,0.378,0.26205,0.69324,49377.755,0.72071,78.9142,208.7673,63.174,735333.5889,31.3465,0.64689,33.1994,0.68513,694293.0042,0.14885,22148.9988,0.64796,1073277.5379,48.4572,301.1473,298,89.1306,99.5291,95,0,42,129,55.9732,58.1356,1,0.44677,0.69851,0.394,0.001,0.131,0.753,0.33655,0.27128,62191,29609.4191,24643.7098,29088,1,14197.25,44522.75,17650.936,16880.5519,99.6332,5.1249,7.6386,3.1387,1.2108,1.995,5.6834,5.7366,7.3255,47.0863,20.4594,32.6914,17.5632,0.047086,5.7445,34.7497,15.8198,12.9112,0.2869,0.10305,0.098039,0.10456,0,0.083112,0.12588,0.036345,0.043434,102.75,19.0521,18.6977,18.1405,2.3182,14.8595,21.8264,7.8969,5.8557
1,Lalfilm,41027.0,05-Feb-2021 09:37:24,1,0.48157,0.68024,0.42595,0.014255,0.26939,0.67326,0.26099,0.24428,0.070981,0.022909,0.022021,0.02028,0,0.01521,0.030421,0.0089636,0.0089519,100,4.1393,9.2032,0,0,0,0,18.4454,27.523,0.4133,0.36879,0.8923,41847.3899,0.45145,90.1175,218.0437,55.8323,505223.669,21.0022,0.62808,22.8151,0.68229,465079.4237,0.32927,22144.3045,0.64783,740477.2469,33.4387,244.3627,299,78.3206,92.4774,79,0,28,118,54.7896,57.9781,1,0.3952,0.6902,0.297,0.001,0.079,0.69,0.34293,0.28678,70294,29707.0281,22675.9782,25486,1,11214.5,48002.75,20876.0132,19725.849,134.1338,8.0059,13.4216,4.3863,1.8002,2.7878,8.4403,10.1573,13.7684,47.0863,18.0485,32.2749,12.9487,0.047086,3.5315,31.5007,16.0241,13.6355,0.29207,0.094218,0.090026,0.09495,0,0.074965,0.11597,0.034812,0.042982,90.8636,14.0604,13.5541,13.0496,0.33058,9.8926,16.6033,7.6586,6.1479
1,Lalfilm,31610.0,05-Feb-2021 09:37:24,1,0.55539,0.73545,0.53612,0.031409,0.32399,0.79029,0.26919,0.22296,0.060841,0.021011,0.020273,0.02028,0,0.01521,0.025351,0.0082199,0.0079499,100,5.6916,10.4619,0,0,0,0,21.6388,29.323,0.2683,0.16405,0.61144,52198.8361,0.79129,54.0864,201.5873,34.166,413560.2475,15.9361,0.53837,17.6286,0.59555,373854.0011,0.2576,23459.6051,0.68631,694422.2412,29.6008,329.6915,296,83.1733,89.6557,89,0,32,123,56.2321,59.3788,1,0.47919,0.74188,0.44,0.001,0.13,0.833,0.35488,0.26576,43257,18479.8674,14405.162,17309.5,1,8478,27593,11749.8535,10400.8494,93.8988,7.8682,12.2358,4.2046,1.4892,2.5015,8.8657,9.4383,11.7727,47.0863,21.9684,34.7427,19.4937,0.047086,5.6974,38.7049,16.7523,12.6827,0.27226,0.095129,0.087098,0.097125,0,0.075139,0.11935,0.038381,0.044769,63.7273,11.3006,10.8911,10.595,0.40496,7.843,13.405,5.9605,4.6185
