,Collection,Ncells,Timepoint,Architecture_LocalDensity_range10_max,Architecture_LocalDensity_range10_mean,Architecture_LocalDensity_range10_mean_biovolume,Architecture_LocalDensity_range10_median,Architecture_LocalDensity_range10_min,Architecture_LocalDensity_range10_p25,Architecture_LocalDensity_range10_p75,Architecture_LocalDensity_range10_std,Architecture_LocalDensity_range10_std_biovolume,Architecture_LocalNumberDensity_range10_max,Architecture_LocalNumberDensity_range10_mean,Architecture_LocalNumberDensity_range10_mean_biovolume,Architecture_LocalNumberDensity_range10_median,Architecture_LocalNumberDensity_range10_min,Architecture_LocalNumberDensity_range10_p25,Architecture_LocalNumberDensity_range10_p75,Architecture_LocalNumberDensity_range10_std,Architecture_LocalNumberDensity_range10_std_biovolume,Architecture_LocalSubstrateArea_max,Architecture_LocalSubstrateArea_mean,Architecture_LocalSubstrateArea_mean_biovolume,Architecture_LocalSubstrateArea_median,Architecture_LocalSubstrateArea_min,Architecture_LocalSubstrateArea_p25,Architecture_LocalSubstrateArea_p75,Architecture_LocalSubstrateArea_std,Architecture_LocalSubstrateArea_std_biovolume,Biofilm_AspectRatio_HeightToLength,Biofilm_AspectRatio_HeightToWidth,Biofilm_AspectRatio_LengthToWidth,Biofilm_BaseArea,Biofilm_BaseEccentricity,Biofilm_Height,Biofilm_Length,Biofilm_MeanThickness,Biofilm_OuterSurface,Biofilm_OuterSurfaceIgnoreSubstratePerSubstrate,Biofilm_OuterSurfaceIgnoreSubstratePerVolume,Biofilm_OuterSurfacePerSubstrate,Biofilm_OuterSurfacePerVolume,Biofilm_OuterSurface_ignoreSubstrate,Biofilm_Roughness,Biofilm_SubstrateArea,Biofilm_SubstratumCoverage,Biofilm_Volume,Biofilm_VolumePerSubstrate,Biofilm_Width,Cube_Surface_max,Cube_Surface_mean,Cube_Surface_mean_biovolume,Cube_Surface_median,Cube_Surface_min,Cube_Surface_p25,Cube_Surface_p75,Cube_Surface_std,Cube_Surface_std_biovolume,Cube_VolumeFraction_max,Cube_VolumeFraction_mean,Cube_VolumeFraction_mean_biovolume,Cube_VolumeFraction_median,Cube_VolumeFraction_min,Cube_VolumeFraction_p25,Cube_VolumeFraction_p75,Cube_VolumeFraction_std,Cube_VolumeFraction_std_biovolume,Grid_ID_max,Grid_ID_mean,Grid_ID_mean_biovolume,Grid_ID_median,Grid_ID_min,Grid_ID_p25,Grid_ID_p75,Grid_ID_std,Grid_ID_std_biovolume,Intensity_Mean_ch1_max,Intensity_Mean_ch1_mean,Intensity_Mean_ch1_mean_biovolume,Intensity_Mean_ch1_median,Intensity_Mean_ch1_min,Intensity_Mean_ch1_p25,Intensity_Mean_ch1_p75,Intensity_Mean_ch1_std,Intensity_Mean_ch1_std_biovolume,Shape_Volume_max,Shape_Volume_mean,Shape_Volume_mean_biovolume,Shape_Volume_median,Shape_Volume_min,Shape_Volume_p25,Shape_Volume_p75,Shape_Volume_std,Shape_Volume_std_biovolume,Surface_LocalRoughness_range10_max,Surface_LocalRoughness_range10_mean,Surface_LocalRoughness_range10_mean_biovolume,Surface_LocalRoughness_range10_median,Surface_LocalRoughness_range10_min,Surface_LocalRoughness_range10_p25,Surface_LocalRoughness_range10_p75,Surface_LocalRoughness_range10_std,Surface_LocalRoughness_range10_std_biovolume,Surface_PerSubstrateArea_max,Surface_PerSubstrateArea_mean,Surface_PerSubstrateArea_mean_biovolume,Surface_PerSubstrateArea_median,Surface_PerSubstrateArea_min,Surface_PerSubstrateArea_p25,Surface_PerSubstrateArea_p75,Surface_PerSubstrateArea_std,Surface_PerSubstrateArea_std_biovolume
1,Lalfilm,37204.0,05-Feb-2021 09:37:34,1,0.48966,0.7201,0.45567,0.010631,0.21358,0.75242,0.29758,0.24737,0.070981,0.021525,0.020748,0.02028,0,0.01521,0.025351,0.0084498,0.0079452,100,5.278,11.3269,0,0,0,0,21.0845,30.4871,0.34372,0.24189,0.70376,47983.215,0.71043,71.2709,207.3545,40.6004,446953.1296,15.8717,0.5667,17.4557,0.62326,406393.835,0.24003,25605.0041,0.74907,717122.4472,28.0071,294.6361,301,76.4042,85.6807,76,0,26,115,54.7887,57.9348,1,0.42064,0.72631,0.317,0.001,0.08225,0.781,0.35892,0.28314,56773,22622.6287,15385.706,20347.5,1,9863.5,34074.5,15048.8212,12419.8481,129.2897,10.7621,18.8294,4.7864,2.3004,3.3373,11.0432,14.1373,18.3105,47.0863,19.2754,33.9967,13.7963,0.047086,3.6256,35.9268,16.8453,13.4823,0.29642,0.088329,0.082053,0.088427,0,0.066683,0.11114,0.036636,0.042577,59.1818,11.8564,11.3604,11.1736,0.81818,8.7025,14.0165,5.3738,4.4048
1,Lalfilm,22810.0,05-Feb-2021 09:37:34,1,0.58861,0.76637,0.60897,0.015128,0.34884,0.83762,0.27706,0.20795,0.065911,0.020927,0.020411,0.02028,0,0.01521,0.025351,0.0078951,0.0073821,100,9.0356,16.3149,0,0,0,0,26.9998,35.4615,0.14274,0.114,0.79862,46636.6796,0.60184,31.0842,217.7649,22.019,289778.5611,9.3187,0.47357,10.7825,0.54795,250440.6823,0.21657,26874.927,0.78622,528838.313,19.6778,272.6779,261,80.7753,85.257,87,0,31,119,54.3985,56.9476,1,0.51338,0.76676,0.506,0.001,0.156,0.878,0.35851,0.25334,27036,12343.7082,9304.8378,11889.5,1,5841,18552,7532.6901,6369.9908,94.9277,10.8212,16.5757,5.3259,1.7978,3.0178,13.9839,12.0481,13.7982,47.0863,23.1845,35.7921,22.0835,0.047086,6.2154,40.8238,17.0972,12.274,0.27679,0.092745,0.082801,0.093954,0,0.071756,0.11661,0.038387,0.042472,46.1818,7.8511,7.3278,7.2231,0.31405,5.5289,8.9752,4.6198,3.1357
1,Lalfilm,31992.0,05-Feb-2021 09:37:34,1,0.5221,0.72052,0.50278,0.029234,0.27301,0.76516,0.27935,0.23261,0.065911,0.021326,0.020963,0.02028,0,0.01521,0.025351,0.0080975,0.0075696,100,5.928,11.9319,0,0,0,0,22.0844,31.0134,0.23432,0.18642,0.79555,44055.6526,0.60588,49.4999,211.2471,33.7606,409042.8219,14.9123,0.56438,16.5408,0.62602,368769.6154,0.21501,24729.2671,0.72345,653403.0672,26.4223,265.5345,293,81.2937,89.1595,84.5,0,33,120,54.7985,57.4641,1,0.44768,0.72622,0.374,0.001,0.111,0.8,0.35251,0.27462,40560,18267.2208,13526.0931,17357,1,8423.5,27688.5,11366.0504,9934.2812,87.2228,7.4309,12.1783,3.5346,1.5093,2.3296,8.3324,9.0254,11.2348,47.0863,20.424,33.9501,16.2919,0.047086,4.7086,37.0098,16.6213,13.1466,0.26125,0.093792,0.086392,0.094709,0,0.072723,0.11694,0.036489,0.042218,47.5455,10.7666,10.341,10.2562,0.21488,7.9669,12.6942,4.7558,3.7816
1,Lalfilm,44613.0,05-Feb-2021 09:37:34,1,0.47889,0.68085,0.44987,0.019087,0.26045,0.67528,0.26151,0.23201,0.070981,0.023657,0.023464,0.025351,0,0.01521,0.030421,0.0088269,0.0088243,100,3.1242,7.0527,0,0,0,0,16.0055,24.3356,0.60313,0.61595,1.0213,43185.9247,0.20297,142.924,236.9701,84.5871,526213.0595,26.7654,0.62191,28.9533,0.67275,486448.7871,0.34305,18174.5405,0.53169,782185.5287,43.0374,232.0378,301,74.9738,91.1791,76,0,27,111,52.4453,53.7036,1,0.38604,0.69142,0.279,0.001,0.068,0.69,0.34439,0.28441,110849,44770.1086,35780.3254,38049,1,14081.75,74142.25,33322.5237,31509.0128,174.7718,9.933,16.9622,5.2852,2.5505,3.6599,9.7695,13.0861,17.9588,47.0863,17.5327,32.2906,11.8657,0.047086,2.9664,31.4066,16.0858,13.5628,0.31104,0.091155,0.089152,0.09036,0,0.071998,0.1109,0.033027,0.03871,94,15.1301,14.5504,13.876,0.22314,10.2893,17.9504,8.8971,6.7143
1,Lalfilm,39061.0,05-Feb-2021 09:37:34,1,0.48995,0.69089,0.46557,0.022711,0.26915,0.69171,0.26415,0.23,0.065911,0.023449,0.023151,0.02028,0,0.01521,0.030421,0.0087639,0.0086094,100,4.1355,9.1062,0,0,0,0,18.4578,27.3859,0.57701,0.46088,0.79875,43773.9834,0.60167,121.7441,210.9929,62.2127,471155.3376,20.4978,0.61125,22.368,0.66702,431761.6495,0.41019,21063.8465,0.61622,706356.2613,33.5341,264.1546,287,76.7014,92.8104,78,0,28,113,52.917,53.7717,1,0.39786,0.70054,0.294,0.001,0.074,0.709,0.34832,0.28378,94611,34789.8837,26100.8758,26408,2,11321.75,57772.5,27135.0973,25162.2864,110.1305,7.2562,12.3865,3.7829,1.7885,2.6093,7.2736,9.2716,12.5282,47.0863,18.0834,32.7168,12.6662,0.047086,3.2019,32.1599,16.2674,13.533,0.28097,0.092494,0.090746,0.09181,0,0.072964,0.11235,0.033356,0.0386,86.7273,13.9576,13.5257,12.6942,0.13223,9.0661,17.0909,8.0683,6.5086
1,Lalfilm,50994.0,05-Feb-2021 09:37:34,1,0.47945,0.68132,0.44165,0.022469,0.26407,0.66997,0.25838,0.23523,0.070981,0.023903,0.023562,0.025351,0,0.01521,0.030421,0.0091109,0.0091109,100,1.2931,1.9718,0,0,0,0,9.5245,12.6107,0.73593,0.56214,0.76385,43521.5891,0.6454,151.408,205.7359,91.8369,583061.1132,63.2502,0.60951,67.8103,0.65345,543851.4133,0.29604,8598.4171,0.25154,892283.1147,103.773,269.3424,288,72.6105,86.2576,71,0,25,109,52.1179,55.1744,1,0.38374,0.69439,0.271,0.001,0.067,0.681,0.34647,0.29024,118962,49201.8688,46622.7282,47309.5,1,21288,73663,31550.6391,28766.7483,135.8903,6.2316,10.3932,3.4405,1.5531,2.2909,6.4894,8.3435,11.6206,47.0863,17.4978,32.4626,11.7245,0.047086,2.9664,30.9828,16.182,13.8066,0.28102,0.089165,0.085165,0.087702,0,0.070548,0.10872,0.032588,0.039103,148.6818,17.694,17.9271,15.8678,0.12397,11.6446,21.0331,12.696,9.2295
