,Evaluation,Method,Model,MAE,std_abs_err,MAPE,std_relative_abs_err,RMSE,R2,Y_hat,Y_true,n_samples
0,1167,combinatoric,LGBMRegressor,0.23205690211627997,0.16249262640067938,0.29430371786844944,0.16169292385304884,0.30211455903581985,-0.5390802135594057,[0.50854273 0.50854273 0.53266371 ... 0.66977408 0.68115652 0.67888089],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
0,1202,combinatoric,LGBMRegressor,0.15321503584814905,0.17254586271931335,0.5210803656621823,1.9369687669919005,0.20462494719714402,0.30544944966589305,[0.76606196 0.7562631  0.7562631  ... 0.7064947  0.71184861 0.71568425],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
0,1218,combinatoric,LGBMRegressor,0.14354678176476882,0.18438627103447813,0.8397719845986348,2.7583200590389487,0.21317857873105417,0.3886406133561189,[0.72215088 0.72215088 0.72556429 ... 0.64761412 0.65388777 0.65388777],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
0,1219,combinatoric,LGBMRegressor,0.1317370311197292,0.15493584213832207,88797722707832.67,91.04406293508302,0.19390145329193992,0.412886341271133,[0.55067295 0.55067295 0.55067295 ... 0.69656327 0.69694868 0.70435636],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
0,1234,combinatoric,LGBMRegressor,0.23614504956353777,0.20259390288330772,87709190614748.1,115.68335141935911,0.3416499592739982,-0.45535646274185737,[0.72539097 0.72162648 0.71831602 ... 0.59022894 0.57944903 0.57920651],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
0,1273,combinatoric,LGBMRegressor,0.15359354726186222,0.08610974306965902,0.22936320472013874,0.31692443122441627,0.2145249613507687,0.1359071962810301,[0.69766633 0.69702058 0.69702058 ... 0.70961539 0.71336872 0.71336872],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
0,1298,combinatoric,LGBMRegressor,0.13039814224173882,0.11776798892217377,0.3178108309931682,0.3667890876337932,0.1738331653555256,0.4272167810177314,[0.58737594 0.5832578  0.5832578  ... 0.5198831  0.51385572 0.51385572],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
0,1339,combinatoric,LGBMRegressor,0.21797213179303734,0.22764815103328417,0.9294313284330594,1.8304233274802213,0.2865842919754706,-0.046891618216569286,[0.82537722 0.82294278 0.82294278 ... 0.58966924 0.5907582  0.59105669],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
0,11285,combinatoric,LGBMRegressor,0.12499016924147768,0.10063964455872194,0.1629645716465933,0.32658285804109244,0.1547709304351023,0.5202333751604915,[0.70385424 0.68710875 0.68710875 ... 0.70350872 0.69954159 0.69954159],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
0,11457,combinatoric,LGBMRegressor,0.1175012735066167,0.1385132010018116,0.155716756427807,0.5617070923831736,0.15307355551286478,0.4608683245353222,[0.83237548 0.82908541 0.82908541 ... 0.77723928 0.78240156 0.78305758],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
0,12001,combinatoric,LGBMRegressor,0.1326157351681636,0.100620403888035,0.21316353728489387,0.8071313047449149,0.17885784852443545,0.22759024747036172,[0.70701647 0.70541194 0.70541194 ... 0.83092808 0.83282638 0.83282638],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
0,12048,combinatoric,LGBMRegressor,0.12875842446234337,0.10786926127343334,0.3275993166300875,1.9779386253437867,0.16664668845058117,0.5397663349925903,[0.67632869 0.6706546  0.6706546  ... 0.71896821 0.72681844 0.72681844],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,12701,combinatoric,LGBMRegressor,0.16760368867369682,0.12976806923246276,0.46557568339434563,0.7466262555097921,0.22893188820994537,0.17676407171392006,[0.60704388 0.6047438  0.6047438  ... 0.8361417  0.8361814  0.83081805],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
0,12832,combinatoric,LGBMRegressor,0.11443600653956724,0.17104647244968102,0.31115406616820435,1.0359678988319918,0.16259941654333057,0.5349642752135708,[0.79430601 0.79296494 0.79286918 ... 0.86520705 0.86737451 0.86534624],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
