,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2191539033946976,0.2816722180404788,[0.53993536 0.53993536 0.53967053 ... 0.60637927 0.62659533 0.62659533],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.1564299701169476,0.2118516574097418,[0.77137075 0.77137075 0.77137075 ... 0.56759484 0.57205442 0.57205442],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1303745180588499,0.1850476933755604,[0.68020782 0.68020782 0.68020782 ... 0.63616761 0.62267005 0.62267005],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.1271730567060927,0.1958485142622191,[0.5408364  0.5408364  0.5408364  ... 0.68362806 0.69330821 0.69330821],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.230967001374111,0.336333943210127,[0.80538888 0.80538888 0.80538888 ... 0.54038752 0.548425   0.548425  ],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1387361073895353,0.2051611589028939,[0.66117561 0.66117561 0.6699632  ... 0.58491723 0.57031615 0.57031615],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.1303811154163263,0.1715255465702903,[0.64250026 0.64250026 0.64250026 ... 0.56378787 0.56293835 0.56293835],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.203769026106277,0.2692334830895972,[0.88971467 0.88971467 0.88971467 ... 0.59173399 0.61455477 0.61455477],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.1051314736608148,0.1315621825040096,[0.8193811  0.82266979 0.83037129 ... 0.85947444 0.88202759 0.87845637],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.0952465166615495,0.1254252319207902,[0.89064137 0.89064137 0.891274   ... 0.78082846 0.79771395 0.79771395],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
10,0,12001,combinatoric,LGBMRegressor,0.1013645120282733,0.1423887604264326,[0.78289476 0.77972136 0.78218423 ... 0.90704627 0.92151754 0.91678832],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
11,0,12048,combinatoric,LGBMRegressor,0.1010395830230852,0.1319107410363385,[0.78077693 0.76932254 0.77740833 ... 0.73596381 0.76558554 0.7591729 ],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,0,12701,combinatoric,LGBMRegressor,0.1818744475351192,0.2566932806196621,[0.66426857 0.6518489  0.67254726 ... 0.87834234 0.9251444  0.88953226],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
1,0,12832,combinatoric,LGBMRegressor,0.1173115072330688,0.1705751064324114,[0.84673712 0.84551613 0.83714346 ... 0.90275684 0.91406816 0.91406816],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
